run dir   /home/theo/cadex-jobs/stand-task-20260802-200109
task      /home/theo/cadex-jobs/stand-task-20260802-200109/stand-task.json
          sha256 21fe4171a5499258379e20e04a091fd33c8e1a04b5f2d19acb27264140a7f235
model     /home/theo/cadex-jobs/stand-task-20260802-200109/model-model.xml
          sha256 e3511559eeb3d5ab3a369852a6c7d7e5fcfc256a259f1f4f41284ffb2cef0ae1  (matches the bundle's own)
seeds     12  (0…11)   budget 600 steps
motors    10 × ±86 N·mm
wall      5.8 s

same-file-twice (ADR-103 §9)  stand8.best.cxpolicy  24 episodes, one worker
  PASS — the evaluator reloads the model per episode and its rows do not drift.

survival, and what it cost   (trainer r/s is what the trainer recorded; every other column is measured here)
  checkpoint                 iter    surv  steps µ   med    tilt    drift    reward  train r/s  termination mix
  stand8.002150.cxpolicy     51.2   53.0   37.5   42.3   55.3   61.9   61.5   56.9   22.3   33.1
  stand8.002200.cxpolicy     57.9   60.3   39.8   44.8   54.4   65.9   59.6   56.0   20.7   31.5
  stand8.002250.cxpolicy     52.7   58.0   37.8   43.6   56.0   63.6   60.5   58.7   22.1   34.0
  stand8.002300.cxpolicy     52.9   58.3   37.7   44.2   58.0   63.9   61.2   61.0   20.3   36.7
  stand8.002350.cxpolicy     51.9   58.0   36.4   42.2   58.9   63.7   59.9   58.7   19.5   34.7
  stand8.002400.cxpolicy     52.2   58.2   32.6   38.7   57.5   63.5   55.3   55.1   19.1   32.0
  stand8.002450.cxpolicy     50.8   57.4   37.0   43.2   59.5   63.4   62.2   57.1   20.2   32.6
  stand8.cxpolicy            51.2   57.6   32.6   38.4   57.9   60.1   60.7   52.7   22.2   30.9

% of frames above 90 % of limit, per motor   (hazard 15's column: a clean-looking stand can live here)
  checkpoint               hip_ro hip_ro hip_pi hip_pi knee_l knee_r ankle_ ankle_ ankle_ ankle_
  stand8.000050.cxpolicy      0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  stand8.000100.cxpolicy      0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  stand8.000150.cxpolicy      0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  stand8.000200.cxpolicy      0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.7    0.0    0.0
  stand8.000250.cxpolicy      0.0    0.0    0.0    0.0    0.0    0.0    0.2    2.5    0.0    0.0
  stand8.000300.cxpolicy      0.1    0.0    0.0    0.0    0.0    0.0    0.3    2.6    0.0    0.0
  stand8.000350.cxpolicy      0.3    0.0    0.0    0.0    0.0    0.0    0.7    4.1    0.0    0.0
  stand8.000400.cxpolicy      0.2    0.0    0.0    0.0    0.0    0.0    0.8    3.5    0.0    0.1
  stand8.000450.cxpolicy      0.3    0.0    0.0    0.0    0.0    0.0    1.1    7.3    0.0    0.2
  stand8.000500.cxpolicy      0.3    0.1    0.0    0.0    0.0    0.0    1.4    6.9    0.0    0.6
  stand8.000550.cxpolicy      0.4    0.2    0.0    0.0    0.0    0.0    1.8    6.8    0.0    0.7
  stand8.best.cxpolicy        0.5    0.2    0.0    0.0    0.0    0.0    2.2    4.7    0.0    0.4
  stand8.000600.cxpolicy      0.4    0.2    0.0    0.0    0.0    0.0    2.1    4.9    0.0    0.4
  stand8.000650.cxpolicy      0.2    1.0    0.0    0.0    0.0    0.0    5.5    7.3    0.0    0.5
  stand8.000700.cxpolicy      0.3    1.3    0.0    0.1    0.0    1.2    9.5   21.2    0.0    0.1
  stand8.000750.cxpolicy      0.3    1.1    0.0    0.2    0.0    2.1   15.2   27.4    0.0    0.1
  stand8.000800.cxpolicy      1.0    0.9    0.1    2.0    0.0    2.8   15.3   27.6    0.0    0.5
  stand8.000850.cxpolicy      0.2    1.3    0.0    0.5    0.7    9.9   17.7   33.9    0.0    0.7
  stand8.000900.cxpolicy      1.3    1.1    0.1    0.5    3.9   12.0   26.1   37.4    0.0    2.7
  stand8.000950.cxpolicy      0.3    2.1    0.2    0.6    5.7   10.0   32.6   46.4    0.0    3.3
  stand8.001000.cxpolicy      1.9    2.4    0.1    0.1    9.7    9.2   33.6   47.4    0.0    3.2
  stand8.001050.cxpolicy      3.6    2.8    0.0    0.0   18.2    9.0   34.7   51.0    0.0    3.5
  stand8.001100.cxpolicy      3.7    6.9    0.0    0.0   25.7   11.0   34.2   51.8    0.0    4.3
  stand8.001150.cxpolicy     12.4    7.7    0.1    0.0   29.0   15.0   37.4   56.0    0.0    3.7
  stand8.001200.cxpolicy      6.7   10.5    0.1    0.0   30.3   14.7   45.1   51.2    0.0    4.3
  stand8.001250.cxpolicy      4.6   12.6    0.2    0.4   26.3   11.8   40.6   51.0    0.0    5.0
  stand8.001300.cxpolicy      2.2    8.2    0.3    0.0   24.0   17.7   40.2   50.8    0.0    4.7
  stand8.001350.cxpolicy      1.1    6.8    0.1    0.1   26.3   19.0   39.2   48.6    0.0    6.4
  stand8.001400.cxpolicy      1.2    6.3    0.2    0.2   24.0   20.7   37.3   45.7    0.0    2.9
  stand8.001450.cxpolicy      2.4    5.6    0.1    0.0   30.4   24.9   45.5   51.8    0.0    3.6
  stand8.001500.cxpolicy      0.6    6.0    0.2    0.0   22.1   23.6   41.3   51.2    0.0    4.0
  stand8.001550.cxpolicy      1.4    9.0    0.0    0.1   27.2   25.6   49.0   52.5    0.0    6.7
  stand8.001600.cxpolicy      1.5    9.6    0.1    0.4   24.6   29.9   44.5   43.8    0.0    5.8
  stand8.001650.cxpolicy      1.8    6.4    0.1    0.3   19.9   30.6   40.9   42.7    0.0    5.1
  stand8.001700.cxpolicy      1.5    4.8    0.1    0.4   19.8   28.0   40.6   46.8    0.0    1.4
  stand8.001750.cxpolicy      2.3   10.1    0.0    0.3   31.3   35.6   48.2   59.4    0.1    6.0
  stand8.001800.cxpolicy      2.5   10.0    0.0    0.2   21.8   32.0   39.4   53.1    0.1    6.8
  stand8.001850.cxpolicy      2.7    9.1    0.1    1.8   19.5   34.8   43.2   49.1    0.2    6.4
  stand8.001900.cxpolicy      2.3    7.6    0.2    1.4   18.1   37.1   42.9   43.9    0.0    5.6
  stand8.001950.cxpolicy      4.8    8.6    0.1    2.0   20.4   31.6   34.1   40.2    0.0    5.4
